,vdsat,self_gain,region,ron,id,gmoverid,gmbs,gm,gds,ft,csb,cgs,cdb,cgd,cgb,vsb,w,l,vds,vgs,vearly,cds
0,0.1018,0.0,0.0,inf,8.293e-12,0.0,0.0,0.0,1.053e-08,0.0,7.171e-16,3.659e-16,7.171e-16,3.659e-16,9.96e-17,0.6,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.0,,
1,0.1018,0.0,0.0,inf,8.28e-12,0.0,0.0,0.0,4.116e-08,0.0,7.171e-16,3.687e-16,7.171e-16,3.687e-16,9.78e-17,0.6,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.05,,
2,0.1019,0.0,0.0,inf,8.243e-12,0.0,0.0,0.0,1.611e-07,0.0,7.171e-16,3.708e-16,7.171e-16,3.708e-16,9.61e-17,0.6,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.1,,
3,0.1019,0.0,3.0,inf,8.177e-12,0.0,0.0,0.0,6.309e-07,0.0,7.171e-16,3.723e-16,7.171e-16,3.723e-16,9.447e-17,0.6,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.15,,
4,0.1019,0.0,3.0,inf,8.077e-12,0.0,0.0,0.0,2.467e-06,0.0,7.171e-16,3.737e-16,7.171e-16,3.737e-16,9.289e-17,0.6,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.2,,
5,0.102,0.0,3.0,inf,7.936e-12,0.0,0.0,0.0,9.537e-06,0.0,7.173e-16,3.761e-16,7.173e-16,3.761e-16,9.118e-17,0.6,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.25,,
6,0.1023,0.0,3.0,inf,7.739e-12,0.0,0.0,0.0,3.539e-05,0.0,7.18e-16,3.866e-16,7.18e-16,3.866e-16,8.843e-17,0.6,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.3,,
7,0.1033,0.0,3.0,inf,7.441e-12,0.0,0.0,0.0,0.0001178,0.0,7.215e-16,4.326e-16,7.215e-16,4.326e-16,8.102e-17,0.6,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.35,,
8,0.1064,0.0,3.0,inf,6.943e-12,0.0,0.0,0.0,0.0003248,0.0,7.295e-16,5.431e-16,7.295e-16,5.431e-16,6.547e-17,0.6,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.4,,
9,0.1134,0.0,1.0,inf,6.087e-12,0.0,0.0,0.0,0.0007165,0.0,7.379e-16,6.637e-16,7.379e-16,6.637e-16,4.923e-17,0.6,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.45,,
10,0.1247,0.0,1.0,inf,4.666e-12,0.0,0.0,0.0,0.00129,0.0,7.438e-16,7.511e-16,7.438e-16,7.511e-16,3.766e-17,0.6,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.5,,
11,0.1392,0.0,1.0,inf,2.376e-12,0.0,0.0,0.0,0.001988,0.0,7.477e-16,8.093e-16,7.477e-16,8.093e-16,2.995e-17,0.6,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.55,,
12,0.1562,0.0,1.0,inf,-1.254e-12,0.0,0.0,0.0,0.002736,0.0,7.503e-16,8.485e-16,7.503e-16,8.485e-16,2.468e-17,0.6,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.6,,
13,0.1752,0.0,1.0,inf,-6.956e-12,0.0,0.0,0.0,0.003478,0.0,7.521e-16,8.755e-16,7.521e-16,8.755e-16,2.092e-17,0.6,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.65,,
14,0.196,0.0,1.0,inf,-1.586e-11,0.0,0.0,0.0,0.004178,0.0,7.534e-16,8.945e-16,7.534e-16,8.945e-16,1.815e-17,0.6,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.7,,
15,0.2184,0.0,1.0,inf,-2.972e-11,0.0,0.0,0.0,0.004819,0.0,7.544e-16,9.082e-16,7.544e-16,9.082e-16,1.603e-17,0.6,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.75,,
16,0.242,0.0,1.0,inf,-5.119e-11,0.0,0.0,0.0,0.005396,0.0,7.552e-16,9.18e-16,7.552e-16,9.18e-16,1.436e-17,0.6,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.8,,
17,0.2666,0.0,1.0,inf,-8.44e-11,0.0,0.0,0.0,0.005909,0.0,7.558e-16,9.251e-16,7.558e-16,9.251e-16,1.302e-17,0.6,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.85,,
18,0.2921,0.0,1.0,inf,-1.356e-10,0.0,0.0,0.0,0.006362,0.0,7.563e-16,9.301e-16,7.563e-16,9.301e-16,1.192e-17,0.6,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.9,,
19,0.3183,0.0,1.0,inf,-2.146e-10,0.0,0.0,0.0,0.006761,0.0,7.567e-16,9.336e-16,7.567e-16,9.336e-16,1.1e-17,0.6,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.95,,
20,0.345,0.0,1.0,inf,-3.359e-10,0.0,0.0,0.0,0.007112,0.0,7.571e-16,9.359e-16,7.571e-16,9.359e-16,1.022e-17,0.6,2.2999999999999996e-06,3.0000000000000004e-08,0.0,1.0,,
21,0.3722,0.0,1.0,inf,-5.225e-10,0.0,0.0,0.0,0.007422,0.0,7.574e-16,9.373e-16,7.574e-16,9.373e-16,9.548e-18,0.6,2.2999999999999996e-06,3.0000000000000004e-08,0.0,1.05,,
22,0.3998,0.0,1.0,inf,-8.09e-10,0.0,0.0,0.0,0.007694,0.0,7.576e-16,9.379e-16,7.576e-16,9.379e-16,8.967e-18,0.6,2.2999999999999996e-06,3.0000000000000004e-08,0.0,1.1,,
23,0.4277,0.0,1.0,inf,-1.249e-09,0.0,0.0,0.0,0.007935,0.0,7.578e-16,9.38e-16,7.578e-16,9.38e-16,8.46e-18,0.6,2.2999999999999996e-06,3.0000000000000004e-08,0.0,1.15,,
24,0.4559,0.0,1.0,inf,-1.924e-09,0.0,0.0,0.0,0.008148,0.0,7.58e-16,9.376e-16,7.58e-16,9.376e-16,8.011e-18,0.6,2.2999999999999996e-06,3.0000000000000004e-08,0.0,1.2,,
25,0.1019,5.205,0.0,187600000.0,5.475e-10,27.21,9.627e-10,1.451e-08,2.787e-09,2801000.0,7.171e-16,3.659e-16,6.951e-16,3.588e-16,9.96e-17,0.6,2.2999999999999996e-06,3.0000000000000004e-08,0.1,0.0,,
26,0.1019,5.241,0.0,48080000.0,2.094e-09,27.24,3.685e-09,5.667e-08,1.081e-08,10880000.0,7.171e-16,3.687e-16,6.951e-16,3.626e-16,9.78e-17,0.6,2.2999999999999996e-06,3.0000000000000004e-08,0.1,0.05,,
27,0.102,5.276,0.0,12300000.0,8.143e-09,27.27,1.414e-08,2.217e-07,4.202e-08,42360000.0,7.171e-16,3.708e-16,6.951e-16,3.659e-16,9.61e-17,0.6,2.2999999999999996e-06,3.0000000000000004e-08,0.1,0.1,,
28,0.102,5.308,3.0,3145000.0,3.181e-08,27.28,5.43e-08,8.673e-07,1.634e-07,165200000.0,7.171e-16,3.723e-16,6.951e-16,3.687e-16,9.447e-17,0.6,2.2999999999999996e-06,3.0000000000000004e-08,0.1,0.15,,
29,0.102,5.329,3.0,804800.0,1.243e-07,27.23,2.081e-07,3.383e-06,6.348e-07,643000000.0,7.171e-16,3.737e-16,6.951e-16,3.708e-16,9.291e-17,0.6,2.2999999999999996e-06,3.0000000000000004e-08,0.1,0.2,,
30,0.1021,5.304,3.0,207400.0,4.821e-07,26.94,7.856e-07,1.299e-05,2.449e-06,2461000000.0,7.172e-16,3.764e-16,6.952e-16,3.723e-16,9.131e-17,0.6,2.2999999999999996e-06,3.0000000000000004e-08,0.1,0.25,,
31,0.1024,5.126,3.0,55060.0,1.816e-06,25.93,2.802e-06,4.709e-05,9.185e-06,8806000000.0,7.178e-16,3.884e-16,6.955e-16,3.734e-16,8.912e-17,0.6,2.2999999999999996e-06,3.0000000000000004e-08,0.1,0.3,,
32,0.1035,4.585,3.0,15920.0,6.28e-06,23.41,8.611e-06,0.000147,3.206e-05,25940000000.0,7.203e-16,4.43e-16,6.971e-16,3.747e-16,8.412e-17,0.6,2.2999999999999996e-06,3.0000000000000004e-08,0.1,0.35,,
33,0.1068,3.605,1.0,5439.0,1.838e-05,19.4,2.061e-05,0.0003566,9.891e-05,54740000000.0,7.265e-16,5.85e-16,7.015e-16,3.785e-16,7.343e-17,0.6,2.2999999999999996e-06,3.0000000000000004e-08,0.1,0.4,,
34,0.1142,2.567,1.0,2303.0,4.343e-05,15.06,3.762e-05,0.0006542,0.0002548,85890000000.0,7.336e-16,7.59e-16,7.076e-16,3.928e-16,6.046e-17,0.6,2.2999999999999996e-06,3.0000000000000004e-08,0.1,0.45,,
35,0.1257,1.825,1.0,1191.0,8.394e-05,11.48,5.567e-05,0.0009634,0.0005278,111600000000.0,7.394e-16,8.951e-16,7.136e-16,4.294e-16,4.883e-17,0.6,2.2999999999999996e-06,3.0000000000000004e-08,0.1,0.5,,
36,0.1404,1.32,1.0,721.3,0.0001386,8.744,7.076e-05,0.001212,0.0009182,128000000000.0,7.439e-16,9.797e-16,7.188e-16,4.881e-16,3.926e-17,0.6,2.2999999999999996e-06,3.0000000000000004e-08,0.1,0.55,,
37,0.1575,0.9566,1.0,492.2,0.0002032,6.669,7.993e-05,0.001355,0.001416,133900000000.0,7.473e-16,1.023e-15,7.228e-16,5.557e-16,3.185e-17,0.6,2.2999999999999996e-06,3.0000000000000004e-08,0.1,0.6,,
38,0.1766,0.6978,1.0,367.6,0.000272,5.116,8.293e-05,0.001392,0.001994,131200000000.0,7.497e-16,1.041e-15,7.258e-16,6.201e-16,2.63e-17,0.6,2.2999999999999996e-06,3.0000000000000004e-08,0.1,0.65,,
39,0.1976,0.5173,1.0,293.6,0.0003406,3.966,8.128e-05,0.001351,0.002611,123300000000.0,7.515e-16,1.046e-15,7.28e-16,6.757e-16,2.218e-17,0.6,2.2999999999999996e-06,3.0000000000000004e-08,0.1,0.7,,
40,0.22,0.3914,1.0,246.4,0.0004059,3.116,7.683e-05,0.001265,0.003231,112800000000.0,7.529e-16,1.044e-15,7.297e-16,7.215e-16,1.909e-17,0.6,2.2999999999999996e-06,3.0000000000000004e-08,0.1,0.75,,
41,0.2437,0.3024,1.0,214.5,0.0004662,2.482,7.1e-05,0.001157,0.003827,101500000000.0,7.539e-16,1.039e-15,7.309e-16,7.585e-16,1.673e-17,0.6,2.2999999999999996e-06,3.0000000000000004e-08,0.1,0.8,,
42,0.2684,0.2381,1.0,192.0,0.0005209,2.005,6.472e-05,0.001045,0.004387,90570000000.0,7.547e-16,1.032e-15,7.318e-16,7.882e-16,1.488e-17,0.6,2.2999999999999996e-06,3.0000000000000004e-08,0.1,0.85,,
43,0.294,0.1907,1.0,175.4,0.0005701,1.64,5.85e-05,0.0009351,0.004902,80400000000.0,7.554e-16,1.026e-15,7.326e-16,8.119e-16,1.34e-17,0.6,2.2999999999999996e-06,3.0000000000000004e-08,0.1,0.9,,
44,0.3202,0.1551,1.0,162.9,0.000614,1.357,5.26e-05,0.0008334,0.005373,71230000000.0,7.559e-16,1.019e-15,7.331e-16,8.309e-16,1.221e-17,0.6,2.2999999999999996e-06,3.0000000000000004e-08,0.1,0.95,,
45,0.347,0.1278,1.0,153.1,0.000653,1.135,4.714e-05,0.0007412,0.005801,63090000000.0,7.563e-16,1.013e-15,7.336e-16,8.461e-16,1.121e-17,0.6,2.2999999999999996e-06,3.0000000000000004e-08,0.1,1.0,,
