,vearly,vdsat,self_gain,region,id,gmoverid,gmbs,gm,gds,ft,csb,cgs,cgd,cdb,vbs,w,l,vsd,vsg,vsdat,cgb,cds
0,0.0,-0.08435,0.0,0.0,-3.541e-12,0.0,0.0,0.0,4.563e-10,0.0,7.243e-16,4.133e-16,4.133e-16,7.243e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.0,0.0,,,
1,0.0,-0.08442,0.0,0.0,-3.541e-12,0.0,0.0,0.0,2.044e-09,0.0,7.243e-16,4.179e-16,4.179e-16,7.243e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.0,0.05,,,
2,0.0,-0.08449,0.0,0.0,-3.533e-12,0.0,0.0,0.0,9.187e-09,0.0,7.243e-16,4.218e-16,4.218e-16,7.243e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.0,0.1,,,
3,0.0,-0.08457,0.0,0.0,-3.514e-12,0.0,0.0,0.0,4.145e-08,0.0,7.243e-16,4.25e-16,4.25e-16,7.243e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.0,0.15,,,
4,0.0,-0.08464,0.0,0.0,-3.483e-12,0.0,0.0,0.0,1.875e-07,0.0,7.244e-16,4.285e-16,4.285e-16,7.244e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.0,0.2,,,
5,0.0,-0.08472,0.0,3.0,-3.437e-12,0.0,0.0,0.0,8.496e-07,0.0,7.251e-16,4.377e-16,4.377e-16,7.251e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.0,0.25,,,
6,0.0,-0.08484,0.0,3.0,-3.373e-12,0.0,0.0,0.0,3.829e-06,0.0,7.289e-16,4.804e-16,4.804e-16,7.289e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.0,0.3,,,
7,0.0,-0.08511,0.0,3.0,-3.286e-12,0.0,0.0,0.0,1.673e-05,0.0,7.428e-16,6.391e-16,6.391e-16,7.428e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.0,0.35,,,
8,0.0,-0.08606,0.0,3.0,-3.165e-12,0.0,0.0,0.0,6.575e-05,0.0,7.662e-16,9.156e-16,9.156e-16,7.662e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.0,0.4,,,
9,0.0,-0.08927,0.0,3.0,-2.982e-12,0.0,0.0,0.0,0.0002094,0.0,7.849e-16,1.148e-15,1.148e-15,7.849e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.0,0.45,,,
10,0.0,-0.09709,0.0,1.0,-2.693e-12,0.0,0.0,0.0,0.0005063,0.0,7.963e-16,1.298e-15,1.298e-15,7.963e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.0,0.5,,,
11,0.0,-0.1101,0.0,1.0,-2.258e-12,0.0,0.0,0.0,0.0009453,0.0,8.034e-16,1.395e-15,1.395e-15,8.034e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.0,0.55,,,
12,0.0,-0.1268,0.0,1.0,-1.641e-12,0.0,0.0,0.0,0.001466,0.0,8.08e-16,1.462e-15,1.462e-15,8.08e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.0,0.6,,,
13,0.0,-0.1458,0.0,1.0,-7.994e-13,0.0,0.0,0.0,0.002014,0.0,8.112e-16,1.51e-15,1.51e-15,8.112e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.0,0.65,,,
14,0.0,-0.1663,0.0,1.0,3.24e-13,0.0,0.0,0.0,0.002549,0.0,8.136e-16,1.545e-15,1.545e-15,8.136e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.0,0.7,,,
