vgs ,M0:csb lx 1 ,M0:csb lx 2 ,M0:csb lx 3 ,M0:gds lx 1 ,M0:gds lx 2 ,M0:gds lx 3 ,M0:cgs lx 1 ,M0:cgs lx 2 ,M0:cgs lx 3 ,M0:cgg lx 1 ,M0:cgg lx 2 ,M0:cgg lx 3 ,M0:cgd lx 1 ,M0:cgd lx 2 ,M0:cgd lx 3 ,M0:cdb lx 1 ,M0:cdb lx 2 ,M0:cdb lx 3 
0.000,942.7E-18,942.7E-18,942.7E-18,37.84E-9,4.329E-9,1.622E-9,365.9E-18,365.9E-18,365.9E-18,865.6E-18,1.025E-15,1.186E-15,365.9E-18,365.9E-18,365.9E-18,942.7E-18,942.7E-18,942.7E-18
50.00E-3,942.7E-18,942.7E-18,942.7E-18,142.5E-9,19.75E-9,8.011E-9,368.7E-18,368.7E-18,368.7E-18,866.9E-18,1.021E-15,1.177E-15,368.7E-18,368.7E-18,368.7E-18,942.7E-18,942.7E-18,942.7E-18
100.0E-3,942.7E-18,942.7E-18,942.7E-18,539.2E-9,90.66E-9,39.81E-9,370.8E-18,370.9E-18,371.0E-18,867.3E-18,1.017E-15,1.168E-15,370.8E-18,370.9E-18,371.0E-18,942.7E-18,942.7E-18,942.7E-18
150.0E-3,942.7E-18,942.8E-18,942.8E-18,2.044E-6,418.1E-9,198.9E-9,372.6E-18,373.1E-18,373.4E-18,867.3E-18,1.014E-15,1.161E-15,372.6E-18,373.1E-18,373.4E-18,942.7E-18,942.8E-18,942.8E-18
200.0E-3,942.9E-18,943.2E-18,943.4E-18,7.702E-6,1.929E-6,996.1E-9,375.5E-18,377.9E-18,379.9E-18,869.3E-18,1.015E-15,1.161E-15,375.5E-18,377.9E-18,379.9E-18,942.9E-18,943.2E-18,943.4E-18
250.0E-3,943.9E-18,945.4E-18,946.6E-18,28.15E-6,8.766E-6,4.935E-6,385.9E-18,399.5E-18,410.9E-18,885.6E-18,1.048E-15,1.208E-15,385.9E-18,399.5E-18,410.9E-18,943.9E-18,945.4E-18,946.6E-18
300.0E-3,948.3E-18,954.7E-18,960.2E-18,94.15E-6,37.14E-6,22.98E-6,429.7E-18,493.0E-18,548.3E-18,963.0E-18,1.214E-15,1.450E-15,429.7E-18,493.0E-18,548.3E-18,948.3E-18,954.7E-18,960.2E-18
350.0E-3,958.2E-18,976.2E-18,992.9E-18,266.9E-6,130.7E-6,88.16E-6,534.5E-18,721.0E-18,893.8E-18,1.153E-15,1.627E-15,2.077E-15,534.5E-18,721.0E-18,893.8E-18,958.2E-18,976.2E-18,992.9E-18
400.0E-3,968.8E-18,999.4E-18,1.029E-15,614.2E-6,347.5E-6,246.6E-6,653.3E-18,982.6E-18,1.300E-15,1.370E-15,2.105E-15,2.819E-15,653.3E-18,982.6E-18,1.300E-15,968.8E-18,999.4E-18,1.029E-15
450.0E-3,976.3E-18,1.016E-15,1.055E-15,1.153E-3,708.6E-6,515.5E-6,742.6E-18,1.180E-15,1.610E-15,1.534E-15,2.466E-15,3.386E-15,742.6E-18,1.180E-15,1.610E-15,976.3E-18,1.016E-15,1.055E-15
