vgs ,M0:vdsat vds 0 ,M0:vdsat vds 0.1 ,M0:vdsat vds 0.2 ,M0:vdsat vds 0.3 ,M0:vdsat vds 0.4 ,M0:vdsat vds 0.5 ,M0:vdsat vds 0.6 ,M0:vdsat vds 0.7 ,M0:vdsat vds 0.8 ,M0:vdsat vds 0.9 ,M0:vdsat vds 1 ,M0:vdsat vds 1.1 ,M0:vdsat vds 1.2 ,M0:self_gain vds 0 ,M0:self_gain vds 0.1 ,M0:self_gain vds 0.2 ,M0:self_gain vds 0.3 ,M0:self_gain vds 0.4 ,M0:self_gain vds 0.5 ,M0:self_gain vds 0.6 ,M0:self_gain vds 0.7 ,M0:self_gain vds 0.8 ,M0:self_gain vds 0.9 ,M0:self_gain vds 1 ,M0:self_gain vds 1.1 ,M0:self_gain vds 1.2 ,M0:region vds 0 ,M0:region vds 0.1 ,M0:region vds 0.2 ,M0:region vds 0.3 ,M0:region vds 0.4 ,M0:region vds 0.5 ,M0:region vds 0.6 ,M0:region vds 0.7 ,M0:region vds 0.8 ,M0:region vds 0.9 ,M0:region vds 1 ,M0:region vds 1.1 ,M0:region vds 1.2 ,M0:id vds 0 ,M0:id vds 0.1 ,M0:id vds 0.2 ,M0:id vds 0.3 ,M0:id vds 0.4 ,M0:id vds 0.5 ,M0:id vds 0.6 ,M0:id vds 0.7 ,M0:id vds 0.8 ,M0:id vds 0.9 ,M0:id vds 1 ,M0:id vds 1.1 ,M0:id vds 1.2 ,M0:gmoverid vds 0 ,M0:gmoverid vds 0.1 ,M0:gmoverid vds 0.2 ,M0:gmoverid vds 0.3 ,M0:gmoverid vds 0.4 ,M0:gmoverid vds 0.5 ,M0:gmoverid vds 0.6 ,M0:gmoverid vds 0.7 ,M0:gmoverid vds 0.8 ,M0:gmoverid vds 0.9 ,M0:gmoverid vds 1 ,M0:gmoverid vds 1.1 ,M0:gmoverid vds 1.2 ,M0:gds vds 0 ,M0:gds vds 0.1 ,M0:gds vds 0.2 ,M0:gds vds 0.3 ,M0:gds vds 0.4 ,M0:gds vds 0.5 ,M0:gds vds 0.6 ,M0:gds vds 0.7 ,M0:gds vds 0.8 ,M0:gds vds 0.9 ,M0:gds vds 1 ,M0:gds vds 1.1 ,M0:gds vds 1.2 ,M0:gm vds 0 ,M0:gm vds 0.1 ,M0:gm vds 0.2 ,M0:gm vds 0.3 ,M0:gm vds 0.4 ,M0:gm vds 0.5 ,M0:gm vds 0.6 ,M0:gm vds 0.7 ,M0:gm vds 0.8 ,M0:gm vds 0.9 ,M0:gm vds 1 ,M0:gm vds 1.1 ,M0:gm vds 1.2 ,M0:gmbs vds 0 ,M0:gmbs vds 0.1 ,M0:gmbs vds 0.2 ,M0:gmbs vds 0.3 ,M0:gmbs vds 0.4 ,M0:gmbs vds 0.5 ,M0:gmbs vds 0.6 ,M0:gmbs vds 0.7 ,M0:gmbs vds 0.8 ,M0:gmbs vds 0.9 ,M0:gmbs vds 1 ,M0:gmbs vds 1.1 ,M0:gmbs vds 1.2 ,M0:ft vds 0 ,M0:ft vds 0.1 ,M0:ft vds 0.2 ,M0:ft vds 0.3 ,M0:ft vds 0.4 ,M0:ft vds 0.5 ,M0:ft vds 0.6 ,M0:ft vds 0.7 ,M0:ft vds 0.8 ,M0:ft vds 0.9 ,M0:ft vds 1 ,M0:ft vds 1.1 ,M0:ft vds 1.2 ,M0:cdb vds 0 ,M0:cdb vds 0.1 ,M0:cdb vds 0.2 ,M0:cdb vds 0.3 ,M0:cdb vds 0.4 ,M0:cdb vds 0.5 ,M0:cdb vds 0.6 ,M0:cdb vds 0.7 ,M0:cdb vds 0.8 ,M0:cdb vds 0.9 ,M0:cdb vds 1 ,M0:cdb vds 1.1 ,M0:cdb vds 1.2 ,M0:csb vds 0 ,M0:csb vds 0.1 ,M0:csb vds 0.2 ,M0:csb vds 0.3 ,M0:csb vds 0.4 ,M0:csb vds 0.5 ,M0:csb vds 0.6 ,M0:csb vds 0.7 ,M0:csb vds 0.8 ,M0:csb vds 0.9 ,M0:csb vds 1 ,M0:csb vds 1.1 ,M0:csb vds 1.2 ,M0:cgs vds 0 ,M0:cgs vds 0.1 ,M0:cgs vds 0.2 ,M0:cgs vds 0.3 ,M0:cgs vds 0.4 ,M0:cgs vds 0.5 ,M0:cgs vds 0.6 ,M0:cgs vds 0.7 ,M0:cgs vds 0.8 ,M0:cgs vds 0.9 ,M0:cgs vds 1 ,M0:cgs vds 1.1 ,M0:cgs vds 1.2 ,M0:cgd vds 0 ,M0:cgd vds 0.1 ,M0:cgd vds 0.2 ,M0:cgd vds 0.3 ,M0:cgd vds 0.4 ,M0:cgd vds 0.5 ,M0:cgd vds 0.6 ,M0:cgd vds 0.7 ,M0:cgd vds 0.8 ,M0:cgd vds 0.9 ,M0:cgd vds 1 ,M0:cgd vds 1.1 ,M0:cgd vds 1.2 
0.000,102.0E-3,102.0E-3,102.2E-3,102.5E-3,102.7E-3,102.9E-3,103.1E-3,103.4E-3,103.6E-3,103.8E-3,104.0E-3,104.3E-3,104.5E-3,0.000,5.134,7.991,8.302,8.410,8.473,8.518,8.556,8.589,8.619,8.647,8.674,8.698,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,36.62E-12,373.7E-12,551.4E-12,770.3E-12,1.064E-9,1.461E-9,1.994E-9,2.711E-9,3.673E-9,4.962E-9,6.688E-9,9.000E-9,12.10E-9,0.000,27.39,27.32,27.24,27.16,27.08,27.00,26.92,26.84,26.76,26.68,26.60,26.53,6.258E-9,1.701E-9,1.613E-9,2.160E-9,2.943E-9,4.016E-9,5.475E-9,7.454E-9,10.13E-9,13.74E-9,18.61E-9,25.17E-9,33.97E-9,0.000,8.731E-9,12.89E-9,17.94E-9,24.76E-9,34.03E-9,46.64E-9,63.77E-9,87.00E-9,118.5E-9,160.9E-9,218.3E-9,295.5E-9,0.000,520.7E-12,751.9E-12,1.021E-9,1.373E-9,1.839E-9,2.454E-9,3.263E-9,4.327E-9,5.722E-9,7.544E-9,9.920E-9,13.01E-9,0.000,1.705E6,2.542E6,3.567E6,4.956E6,6.849E6,9.427E6,12.93E6,17.70E6,24.15E6,32.88E6,44.68E6,60.58E6,657.7E-18,641.6E-18,627.0E-18,613.6E-18,601.3E-18,590.0E-18,579.4E-18,569.7E-18,560.5E-18,552.0E-18,544.0E-18,536.5E-18,529.4E-18,657.7E-18,657.7E-18,657.7E-18,657.7E-18,657.7E-18,657.7E-18,657.7E-18,657.7E-18,657.7E-18,657.7E-18,657.7E-18,657.7E-18,657.7E-18,365.9E-18,365.9E-18,365.9E-18,365.9E-18,365.9E-18,365.9E-18,365.9E-18,365.9E-18,365.9E-18,365.9E-18,365.9E-18,365.9E-18,365.9E-18,365.9E-18,358.8E-18,351.0E-18,344.3E-18,339.0E-18,334.8E-18,331.4E-18,328.7E-18,326.5E-18,324.6E-18,323.0E-18,321.6E-18,320.3E-18
50.00E-3,102.0E-3,102.1E-3,102.3E-3,102.5E-3,102.7E-3,102.9E-3,103.2E-3,103.4E-3,103.6E-3,103.8E-3,104.1E-3,104.3E-3,104.5E-3,0.000,5.167,8.090,8.411,8.523,8.587,8.633,8.671,8.704,8.735,8.764,8.791,8.815,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,36.61E-12,1.309E-9,1.930E-9,2.683E-9,3.699E-9,5.073E-9,6.933E-9,9.447E-9,12.84E-9,17.41E-9,23.56E-9,31.83E-9,42.92E-9,0.000,27.41,27.34,27.26,27.18,27.10,27.02,26.94,26.85,26.77,26.69,26.61,26.53,24.67E-9,6.654E-9,6.252E-9,8.334E-9,11.31E-9,15.36E-9,20.86E-9,28.29E-9,38.29E-9,51.73E-9,69.77E-9,93.95E-9,126.3E-9,0.000,34.38E-9,50.58E-9,70.10E-9,96.37E-9,131.9E-9,180.1E-9,245.3E-9,333.3E-9,451.9E-9,611.5E-9,825.9E-9,1.113E-6,0.000,2.020E-9,2.905E-9,3.928E-9,5.262E-9,7.015E-9,9.319E-9,12.34E-9,16.29E-9,21.45E-9,28.16E-9,36.86E-9,48.11E-9,0.000,6.674E6,9.910E6,13.86E6,19.20E6,26.44E6,36.27E6,49.57E6,67.57E6,91.86E6,124.6E6,168.6E6,227.7E6,657.7E-18,641.6E-18,627.0E-18,613.6E-18,601.3E-18,590.0E-18,579.4E-18,569.7E-18,560.5E-18,552.0E-18,544.0E-18,536.5E-18,529.4E-18,657.7E-18,657.7E-18,657.7E-18,657.7E-18,657.7E-18,657.7E-18,657.7E-18,657.7E-18,657.7E-18,657.7E-18,657.7E-18,657.7E-18,657.7E-18,368.7E-18,368.7E-18,368.7E-18,368.7E-18,368.7E-18,368.7E-18,368.7E-18,368.7E-18,368.7E-18,368.7E-18,368.7E-18,368.7E-18,368.7E-18,368.7E-18,362.6E-18,354.9E-18,347.5E-18,341.5E-18,336.7E-18,333.0E-18,330.0E-18,327.6E-18,325.5E-18,323.8E-18,322.2E-18,320.9E-18
100.0E-3,102.0E-3,102.1E-3,102.3E-3,102.5E-3,102.8E-3,103.0E-3,103.2E-3,103.4E-3,103.7E-3,103.9E-3,104.1E-3,104.3E-3,104.6E-3,0.000,5.201,8.191,8.523,8.638,8.704,8.751,8.789,8.823,8.854,8.883,8.910,8.935,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,3.000,3.000,3.000,3.000,3.000,36.57E-12,4.997E-9,7.341E-9,10.16E-9,13.96E-9,19.08E-9,26.01E-9,35.36E-9,47.96E-9,64.90E-9,87.65E-9,118.1E-9,158.9E-9,0.000,27.43,27.36,27.27,27.19,27.11,27.02,26.94,26.85,26.76,26.67,26.58,26.47,97.34E-9,26.06E-9,24.25E-9,32.17E-9,43.46E-9,58.80E-9,79.50E-9,107.3E-9,144.6E-9,194.6E-9,261.2E-9,350.0E-9,468.1E-9,0.000,135.5E-9,198.6E-9,274.2E-9,375.4E-9,511.8E-9,695.7E-9,943.3E-9,1.276E-6,1.723E-6,2.320E-6,3.118E-6,4.182E-6,0.000,7.845E-9,11.24E-9,15.13E-9,20.18E-9,26.79E-9,35.43E-9,46.71E-9,61.38E-9,80.41E-9,105.0E-9,136.8E-9,177.5E-9,0.000,26.18E6,38.70E6,53.93E6,74.45E6,102.2E6,139.6E6,190.1E6,258.1E6,349.4E6,471.7E6,635.3E6,853.5E6,657.7E-18,641.6E-18,627.0E-18,613.6E-18,601.3E-18,590.0E-18,579.4E-18,569.7E-18,560.5E-18,552.0E-18,544.0E-18,536.5E-18,529.4E-18,657.7E-18,657.7E-18,657.7E-18,657.7E-18,657.7E-18,657.7E-18,657.7E-18,657.7E-18,657.7E-18,657.7E-18,657.7E-18,657.7E-18,657.7E-18,370.8E-18,370.8E-18,370.8E-18,370.8E-18,370.8E-18,370.8E-18,370.8E-18,370.8E-18,370.8E-18,370.8E-18,370.8E-18,370.8E-18,370.8E-18,370.8E-18,365.9E-18,358.8E-18,351.0E-18,344.3E-18,339.0E-18,334.8E-18,331.4E-18,328.7E-18,326.5E-18,324.6E-18,323.0E-18,321.6E-18
150.0E-3,102.0E-3,102.1E-3,102.3E-3,102.6E-3,102.8E-3,103.0E-3,103.2E-3,103.5E-3,103.7E-3,103.9E-3,104.2E-3,104.4E-3,104.7E-3,0.000,5.233,8.294,8.638,8.756,8.823,8.871,8.909,8.944,8.975,9.004,9.031,9.055,0.000,0.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,36.50E-12,19.54E-9,28.60E-9,39.43E-9,53.92E-9,73.41E-9,99.64E-9,134.9E-9,182.2E-9,245.4E-9,329.9E-9,442.3E-9,591.6E-9,0.000,27.44,27.36,27.27,27.18,27.09,26.99,26.89,26.78,26.67,26.54,26.39,26.23,384.3E-9,102.1E-9,94.09E-9,124.2E-9,166.9E-9,224.8E-9,302.4E-9,406.1E-9,544.3E-9,727.7E-9,970.3E-9,1.290E-6,1.711E-6,0.000,534.5E-9,780.3E-9,1.072E-6,1.462E-6,1.983E-6,2.683E-6,3.619E-6,4.868E-6,6.531E-6,8.737E-6,11.65E-6,15.49E-6,0.000,30.50E-9,43.54E-9,58.34E-9,77.44E-9,102.3E-9,134.6E-9,176.4E-9,230.4E-9,300.0E-9,389.0E-9,502.5E-9,646.3E-9,0.000,102.8E6,151.3E6,209.8E6,288.6E6,394.6E6,536.9E6,727.6E6,982.5E6,1.322E9,1.774E9,2.371E9,3.158E9,657.7E-18,641.6E-18,627.0E-18,613.6E-18,601.3E-18,590.0E-18,579.4E-18,569.7E-18,560.5E-18,552.0E-18,544.0E-18,536.5E-18,529.4E-18,657.7E-18,657.7E-18,657.7E-18,657.7E-18,657.7E-18,657.7E-18,657.7E-18,657.7E-18,657.7E-18,657.7E-18,657.7E-18,657.7E-18,657.7E-18,372.3E-18,372.3E-18,372.3E-18,372.3E-18,372.3E-18,372.3E-18,372.3E-18,372.3E-18,372.3E-18,372.3E-18,372.3E-18,372.3E-18,372.3E-18,372.3E-18,368.7E-18,362.6E-18,354.9E-18,347.5E-18,341.5E-18,336.7E-18,333.0E-18,330.0E-18,327.6E-18,325.5E-18,323.8E-18,322.2E-18
200.0E-3,102.1E-3,102.2E-3,102.4E-3,102.6E-3,102.8E-3,103.1E-3,103.3E-3,103.6E-3,103.8E-3,104.1E-3,104.3E-3,104.6E-3,104.9E-3,0.000,5.258,8.396,8.754,8.876,8.944,8.992,9.031,9.065,9.096,9.124,9.150,9.172,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,36.40E-12,76.82E-9,112.0E-9,153.7E-9,209.1E-9,283.2E-9,382.3E-9,514.3E-9,689.9E-9,922.3E-9,1.229E-6,1.631E-6,2.156E-6,0.000,27.41,27.32,27.21,27.10,26.97,26.83,26.66,26.48,26.27,26.02,25.73,25.40,1.516E-6,400.1E-9,364.2E-9,477.5E-9,638.0E-9,853.3E-9,1.140E-6,1.518E-6,2.014E-6,2.662E-6,3.503E-6,4.586E-6,5.968E-6,0.000,2.104E-6,3.058E-6,4.180E-6,5.662E-6,7.632E-6,10.25E-6,13.70E-6,18.26E-6,24.21E-6,31.96E-6,41.96E-6,54.74E-6,0.000,118.4E-9,168.3E-9,224.2E-9,295.8E-9,388.0E-9,506.5E-9,658.1E-9,851.1E-9,1.095E-6,1.400E-6,1.779E-6,2.245E-6,0.000,403.8E6,590.3E6,814.0E6,1.113E9,1.513E9,2.045E9,2.750E9,3.678E9,4.895E9,6.480E9,8.527E9,11.15E9,657.7E-18,641.6E-18,627.0E-18,613.6E-18,601.3E-18,590.0E-18,579.4E-18,569.7E-18,560.5E-18,552.0E-18,544.0E-18,536.5E-18,529.4E-18,657.7E-18,657.7E-18,657.7E-18,657.7E-18,657.7E-18,657.7E-18,657.7E-18,657.7E-18,657.7E-18,657.7E-18,657.7E-18,657.7E-18,657.7E-18,373.5E-18,373.5E-18,373.5E-18,373.5E-18,373.5E-18,373.5E-18,373.5E-18,373.5E-18,373.5E-18,373.5E-18,373.5E-18,373.5E-18,373.5E-18,373.5E-18,370.8E-18,365.9E-18,358.8E-18,351.0E-18,344.3E-18,339.0E-18,334.8E-18,331.4E-18,328.7E-18,326.5E-18,324.6E-18,323.0E-18
250.0E-3,102.1E-3,102.2E-3,102.5E-3,102.7E-3,103.0E-3,103.2E-3,103.5E-3,103.8E-3,104.2E-3,104.5E-3,104.9E-3,105.4E-3,105.9E-3,0.000,5.255,8.490,8.868,8.994,9.063,9.111,9.149,9.182,9.210,9.236,9.258,9.276,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,36.26E-12,301.2E-9,437.0E-9,595.6E-9,804.2E-9,1.080E-6,1.443E-6,1.918E-6,2.539E-6,3.341E-6,4.371E-6,5.681E-6,7.333E-6,0.000,27.22,27.10,26.93,26.72,26.48,26.19,25.86,25.48,25.03,24.53,23.96,23.34,5.937E-6,1.560E-6,1.395E-6,1.808E-6,2.389E-6,3.153E-6,4.147E-6,5.422E-6,7.043E-6,9.079E-6,11.61E-6,14.70E-6,18.44E-6,0.000,8.199E-6,11.84E-6,16.04E-6,21.48E-6,28.58E-6,37.78E-6,49.61E-6,64.67E-6,83.62E-6,107.2E-6,136.1E-6,171.1E-6,0.000,455.6E-9,643.1E-9,848.7E-9,1.107E-6,1.433E-6,1.841E-6,2.348E-6,2.970E-6,3.724E-6,4.623E-6,5.681E-6,6.903E-6,0.000,1.570E9,2.277E9,3.107E9,4.201E9,5.640E9,7.512E9,9.922E9,12.99E9,16.87E9,21.69E9,27.61E9,34.79E9,657.8E-18,641.7E-18,627.0E-18,613.7E-18,601.4E-18,590.0E-18,579.5E-18,569.7E-18,560.6E-18,552.0E-18,544.0E-18,536.5E-18,529.4E-18,657.8E-18,657.7E-18,657.7E-18,657.7E-18,657.7E-18,657.7E-18,657.7E-18,657.7E-18,657.7E-18,657.7E-18,657.7E-18,657.7E-18,657.7E-18,375.0E-18,375.2E-18,375.2E-18,375.2E-18,375.2E-18,375.2E-18,375.2E-18,375.2E-18,375.2E-18,375.2E-18,375.2E-18,375.2E-18,375.2E-18,375.0E-18,372.3E-18,368.7E-18,362.6E-18,354.9E-18,347.5E-18,341.5E-18,336.7E-18,333.0E-18,330.0E-18,327.6E-18,325.5E-18,323.8E-18
300.0E-3,102.3E-3,102.4E-3,102.7E-3,103.0E-3,103.4E-3,103.8E-3,104.2E-3,104.8E-3,105.3E-3,106.0E-3,106.9E-3,107.8E-3,108.9E-3,0.000,5.152,8.545,8.965,9.100,9.171,9.218,9.253,9.283,9.308,9.330,9.348,9.362,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,2.000,36.07E-12,1.159E-6,1.667E-6,2.244E-6,2.983E-6,3.933E-6,5.146E-6,6.683E-6,8.610E-6,11.00E-6,13.93E-6,17.48E-6,21.75E-6,0.000,26.54,26.32,25.95,25.52,25.01,24.45,23.82,23.13,22.40,21.63,20.83,20.01,22.63E-6,5.968E-6,5.135E-6,6.495E-6,8.363E-6,10.73E-6,13.65E-6,17.20E-6,21.46E-6,26.47E-6,32.29E-6,38.96E-6,46.48E-6,0.000,30.75E-6,43.88E-6,58.23E-6,76.10E-6,98.36E-6,125.8E-6,159.2E-6,199.2E-6,246.4E-6,301.3E-6,364.2E-6,435.2E-6,0.000,1.687E-6,2.352E-6,3.042E-6,3.869E-6,4.864E-6,6.045E-6,7.427E-6,9.017E-6,10.82E-6,12.81E-6,14.99E-6,17.32E-6,0.000,5.846E9,8.369E9,11.17E9,14.73E9,19.22E9,24.78E9,31.56E9,39.70E9,49.32E9,60.52E9,73.36E9,87.87E9,658.1E-18,641.8E-18,627.2E-18,613.8E-18,601.5E-18,590.1E-18,579.6E-18,569.8E-18,560.7E-18,552.2E-18,544.2E-18,536.6E-18,529.6E-18,658.1E-18,658.0E-18,658.0E-18,658.0E-18,658.0E-18,658.0E-18,658.0E-18,658.0E-18,658.0E-18,658.0E-18,658.0E-18,658.0E-18,658.0E-18,380.4E-18,381.2E-18,381.2E-18,381.2E-18,381.2E-18,381.2E-18,381.2E-18,381.2E-18,381.2E-18,381.2E-18,381.2E-18,381.2E-18,381.2E-18,380.4E-18,373.4E-18,370.8E-18,365.9E-18,358.8E-18,351.0E-18,344.3E-18,339.0E-18,334.8E-18,331.4E-18,328.7E-18,326.5E-18,324.6E-18
350.0E-3,103.0E-3,103.1E-3,103.6E-3,104.2E-3,104.9E-3,105.7E-3,106.6E-3,107.7E-3,108.9E-3,110.3E-3,111.9E-3,113.7E-3,115.6E-3,0.000,4.767,8.481,9.014,9.175,9.253,9.301,9.336,9.364,9.387,9.406,9.421,9.431,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,2.000,2.000,2.000,2.000,2.000,35.79E-12,4.187E-6,5.940E-6,7.794E-6,10.06E-6,12.84E-6,16.22E-6,20.29E-6,25.13E-6,30.83E-6,37.46E-6,45.10E-6,53.81E-6,0.000,24.57,24.24,23.60,22.87,22.09,21.28,20.44,19.59,18.74,17.89,17.06,16.25,79.43E-6,21.58E-6,16.98E-6,20.41E-6,25.08E-6,30.66E-6,37.11E-6,44.43E-6,52.59E-6,61.55E-6,71.27E-6,81.68E-6,92.70E-6,0.000,102.9E-6,144.0E-6,183.9E-6,230.1E-6,283.7E-6,345.2E-6,414.8E-6,492.4E-6,577.8E-6,670.4E-6,769.5E-6,874.3E-6,0.000,5.577E-6,7.626E-6,9.490E-6,11.55E-6,13.85E-6,16.39E-6,19.13E-6,22.05E-6,25.11E-6,28.25E-6,31.43E-6,34.60E-6,0.000,18.92E9,26.55E9,34.06E9,42.91E9,53.38E9,65.52E9,79.31E9,94.69E9,111.6E9,130.0E9,149.6E9,170.4E9,659.9E-18,642.6E-18,628.0E-18,614.6E-18,602.3E-18,590.9E-18,580.4E-18,570.6E-18,561.5E-18,552.9E-18,544.9E-18,537.4E-18,530.3E-18,659.9E-18,659.3E-18,659.3E-18,659.3E-18,659.3E-18,659.3E-18,659.3E-18,659.3E-18,659.3E-18,659.3E-18,659.3E-18,659.3E-18,659.3E-18,406.4E-18,411.5E-18,411.4E-18,411.4E-18,411.4E-18,411.4E-18,411.4E-18,411.4E-18,411.4E-18,411.4E-18,411.4E-18,411.4E-18,411.4E-18,406.4E-18,374.4E-18,372.3E-18,368.7E-18,362.6E-18,354.9E-18,347.5E-18,341.5E-18,336.7E-18,333.0E-18,330.0E-18,327.6E-18,325.5E-18
400.0E-3,105.1E-3,105.5E-3,106.4E-3,107.7E-3,109.1E-3,110.6E-3,112.4E-3,114.3E-3,116.4E-3,118.7E-3,121.1E-3,123.7E-3,126.4E-3,0.000,3.929,8.140,8.959,9.194,9.298,9.355,9.394,9.423,9.445,9.462,9.474,9.480,3.000,3.000,3.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,35.34E-12,13.13E-6,18.36E-6,23.24E-6,28.82E-6,35.27E-6,42.70E-6,51.17E-6,60.76E-6,71.51E-6,83.45E-6,96.62E-6,111.0E-6,0.000,20.92,20.73,19.97,19.12,18.27,17.41,16.58,15.77,14.99,14.24,13.53,12.85,236.1E-6,69.93E-6,46.76E-6,51.81E-6,59.94E-6,69.28E-6,79.47E-6,90.31E-6,101.7E-6,113.5E-6,125.6E-6,137.9E-6,150.5E-6,0.000,274.8E-6,380.6E-6,464.2E-6,551.1E-6,644.2E-6,743.4E-6,848.3E-6,958.0E-6,1.072E-3,1.188E-3,1.307E-3,1.427E-3,0.000,14.73E-6,19.95E-6,23.71E-6,27.42E-6,31.21E-6,35.06E-6,38.93E-6,42.76E-6,46.50E-6,50.11E-6,53.53E-6,56.74E-6,0.000,45.23E9,62.88E9,76.90E9,91.78E9,108.1E9,125.8E9,144.6E9,164.2E9,184.5E9,205.3E9,226.4E9,247.8E9,665.6E-18,645.5E-18,630.8E-18,617.4E-18,605.1E-18,593.8E-18,583.2E-18,573.4E-18,564.3E-18,555.8E-18,547.8E-18,540.3E-18,533.2E-18,665.6E-18,663.6E-18,663.6E-18,663.6E-18,663.6E-18,663.6E-18,663.6E-18,663.6E-18,663.6E-18,663.6E-18,663.6E-18,663.6E-18,663.6E-18,492.8E-18,518.3E-18,517.8E-18,517.7E-18,517.6E-18,517.6E-18,517.6E-18,517.6E-18,517.6E-18,517.6E-18,517.6E-18,517.6E-18,517.6E-18,492.8E-18,376.5E-18,373.5E-18,370.8E-18,365.9E-18,358.8E-18,351.0E-18,344.3E-18,339.0E-18,334.8E-18,331.4E-18,328.7E-18,326.5E-18
450.0E-3,110.7E-3,111.4E-3,113.1E-3,115.2E-3,117.4E-3,119.9E-3,122.5E-3,125.2E-3,128.0E-3,131.0E-3,134.1E-3,137.3E-3,140.5E-3,0.000,2.860,7.337,8.715,9.121,9.285,9.369,9.419,9.454,9.479,9.496,9.507,9.511,1.000,1.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,34.57E-12,33.44E-6,46.70E-6,57.04E-6,67.91E-6,79.79E-6,92.81E-6,107.0E-6,122.5E-6,139.2E-6,157.1E-6,176.3E-6,196.7E-6,0.000,16.46,16.61,15.98,15.23,14.48,13.76,13.07,12.42,11.80,11.22,10.67,10.16,561.9E-6,192.5E-6,105.8E-6,104.6E-6,113.4E-6,124.5E-6,136.3E-6,148.5E-6,160.9E-6,173.3E-6,185.6E-6,197.9E-6,210.1E-6,0.000,550.5E-6,775.9E-6,911.7E-6,1.035E-3,1.156E-3,1.277E-3,1.399E-3,1.521E-3,1.642E-3,1.763E-3,1.881E-3,1.998E-3,0.000,29.38E-6,40.49E-6,46.44E-6,51.42E-6,56.02E-6,60.37E-6,64.46E-6,68.28E-6,71.80E-6,75.00E-6,77.86E-6,80.36E-6,0.000,76.95E9,109.5E9,129.0E9,146.9E9,165.0E9,183.7E9,202.5E9,221.4E9,240.1E9,258.6E9,276.8E9,294.6E9,673.9E-18,650.8E-18,635.7E-18,622.3E-18,610.0E-18,598.6E-18,588.1E-18,578.3E-18,569.1E-18,560.6E-18,552.6E-18,545.1E-18,538.0E-18,673.9E-18,670.3E-18,670.1E-18,670.1E-18,670.1E-18,670.1E-18,670.1E-18,670.1E-18,670.1E-18,670.1E-18,670.1E-18,670.1E-18,670.1E-18,619.7E-18,693.2E-18,691.9E-18,691.3E-18,691.1E-18,691.0E-18,690.9E-18,690.9E-18,690.9E-18,690.9E-18,690.9E-18,690.9E-18,690.9E-18,619.7E-18,385.2E-18,374.8E-18,372.4E-18,368.7E-18,362.6E-18,354.9E-18,347.5E-18,341.5E-18,336.7E-18,333.0E-18,330.0E-18,327.6E-18
