vsg ,M0:gds,M0:csb,M0:cgs,M0:cdb,M0:cgd,M0:cds
0.000,10.84E-9,928.4E-18,413.3E-18,928.4E-18,413.3E-18,-1.959E-21
50.00E-3,39.58E-9,928.4E-18,418.0E-18,928.4E-18,418.0E-18,-10.86E-21
100.0E-3,145.5E-9,928.4E-18,421.9E-18,928.4E-18,421.9E-18,-60.65E-21
150.0E-3,538.2E-9,928.5E-18,425.6E-18,928.5E-18,425.6E-18,-339.8E-21
200.0E-3,1.998E-6,929.0E-18,431.8E-18,929.0E-18,431.8E-18,-1.887E-18
250.0E-3,7.401E-6,931.3E-18,454.1E-18,931.3E-18,454.1E-18,-9.736E-18
300.0E-3,26.83E-6,939.2E-18,528.4E-18,939.2E-18,528.4E-18,-37.35E-18
350.0E-3,90.31E-6,951.5E-18,648.8E-18,951.5E-18,648.8E-18,-82.56E-18
400.0E-3,259.3E-6,961.0E-18,748.7E-18,961.0E-18,748.7E-18,-120.2E-18
450.0E-3,600.4E-6,966.8E-18,814.6E-18,966.8E-18,814.6E-18,-144.9E-18
500.0E-3,1.128E-3,970.5E-18,858.2E-18,970.5E-18,858.2E-18,-161.1E-18
550.0E-3,1.793E-3,972.8E-18,888.4E-18,972.8E-18,888.4E-18,-172.1E-18
600.0E-3,2.526E-3,974.5E-18,910.1E-18,974.5E-18,910.1E-18,-179.9E-18
650.0E-3,3.266E-3,975.6E-18,926.4E-18,975.6E-18,926.4E-18,-185.7E-18
700.0E-3,3.968E-3,976.5E-18,938.8E-18,976.5E-18,938.8E-18,-190.0E-18
750.0E-3,4.603E-3,977.2E-18,948.5E-18,977.2E-18,948.5E-18,-193.3E-18
800.0E-3,5.160E-3,977.7E-18,956.3E-18,977.7E-18,956.3E-18,-195.9E-18
850.0E-3,5.638E-3,978.1E-18,962.5E-18,978.1E-18,962.5E-18,-198.0E-18
900.0E-3,6.042E-3,978.5E-18,967.5E-18,978.5E-18,967.5E-18,-199.6E-18
950.0E-3,6.381E-3,978.8E-18,971.7E-18,978.8E-18,971.7E-18,-200.9E-18
1.000,6.666E-3,979.0E-18,975.1E-18,979.0E-18,975.1E-18,-202.0E-18
1.050,6.905E-3,979.2E-18,977.9E-18,979.2E-18,977.9E-18,-202.8E-18
1.100,7.109E-3,979.4E-18,980.2E-18,979.4E-18,980.2E-18,-203.5E-18
1.150,7.282E-3,979.6E-18,982.1E-18,979.6E-18,982.1E-18,-204.0E-18
1.200,7.432E-3,979.7E-18,983.7E-18,979.7E-18,983.7E-18,-204.5E-18
