vgs ,M0:region vds 0 ,M0:region vds 0.1 ,M0:region vds 0.2 ,M0:region vds 0.3 ,M0:region vds 0.4 ,M0:region vds 0.5 ,M0:region vds 0.6 ,M0:region vds 0.7 ,M0:region vds 0.8 ,M0:region vds 0.9 ,M0:region vds 1 ,M0:region vds 1.1 ,M0:region vds 1.2 ,M0:id vds 0 ,M0:id vds 0.1 ,M0:id vds 0.2 ,M0:id vds 0.3 ,M0:id vds 0.4 ,M0:id vds 0.5 ,M0:id vds 0.6 ,M0:id vds 0.7 ,M0:id vds 0.8 ,M0:id vds 0.9 ,M0:id vds 1 ,M0:id vds 1.1 ,M0:id vds 1.2 ,M0:gmoverid vds 0 ,M0:gmoverid vds 0.1 ,M0:gmoverid vds 0.2 ,M0:gmoverid vds 0.3 ,M0:gmoverid vds 0.4 ,M0:gmoverid vds 0.5 ,M0:gmoverid vds 0.6 ,M0:gmoverid vds 0.7 ,M0:gmoverid vds 0.8 ,M0:gmoverid vds 0.9 ,M0:gmoverid vds 1 ,M0:gmoverid vds 1.1 ,M0:gmoverid vds 1.2 ,M0:gmbs vds 0 ,M0:gmbs vds 0.1 ,M0:gmbs vds 0.2 ,M0:gmbs vds 0.3 ,M0:gmbs vds 0.4 ,M0:gmbs vds 0.5 ,M0:gmbs vds 0.6 ,M0:gmbs vds 0.7 ,M0:gmbs vds 0.8 ,M0:gmbs vds 0.9 ,M0:gmbs vds 1 ,M0:gmbs vds 1.1 ,M0:gmbs vds 1.2 ,M0:gm vds 0 ,M0:gm vds 0.1 ,M0:gm vds 0.2 ,M0:gm vds 0.3 ,M0:gm vds 0.4 ,M0:gm vds 0.5 ,M0:gm vds 0.6 ,M0:gm vds 0.7 ,M0:gm vds 0.8 ,M0:gm vds 0.9 ,M0:gm vds 1 ,M0:gm vds 1.1 ,M0:gm vds 1.2 ,M0:gds vds 0 ,M0:gds vds 0.1 ,M0:gds vds 0.2 ,M0:gds vds 0.3 ,M0:gds vds 0.4 ,M0:gds vds 0.5 ,M0:gds vds 0.6 ,M0:gds vds 0.7 ,M0:gds vds 0.8 ,M0:gds vds 0.9 ,M0:gds vds 1 ,M0:gds vds 1.1 ,M0:gds vds 1.2 ,M0:ft vds 0 ,M0:ft vds 0.1 ,M0:ft vds 0.2 ,M0:ft vds 0.3 ,M0:ft vds 0.4 ,M0:ft vds 0.5 ,M0:ft vds 0.6 ,M0:ft vds 0.7 ,M0:ft vds 0.8 ,M0:ft vds 0.9 ,M0:ft vds 1 ,M0:ft vds 1.1 ,M0:ft vds 1.2 ,M0:cdb vds 0 ,M0:cdb vds 0.1 ,M0:cdb vds 0.2 ,M0:cdb vds 0.3 ,M0:cdb vds 0.4 ,M0:cdb vds 0.5 ,M0:cdb vds 0.6 ,M0:cdb vds 0.7 ,M0:cdb vds 0.8 ,M0:cdb vds 0.9 ,M0:cdb vds 1 ,M0:cdb vds 1.1 ,M0:cdb vds 1.2 ,M0:csb vds 0 ,M0:csb vds 0.1 ,M0:csb vds 0.2 ,M0:csb vds 0.3 ,M0:csb vds 0.4 ,M0:csb vds 0.5 ,M0:csb vds 0.6 ,M0:csb vds 0.7 ,M0:csb vds 0.8 ,M0:csb vds 0.9 ,M0:csb vds 1 ,M0:csb vds 1.1 ,M0:csb vds 1.2 ,M0:cgs vds 0 ,M0:cgs vds 0.1 ,M0:cgs vds 0.2 ,M0:cgs vds 0.3 ,M0:cgs vds 0.4 ,M0:cgs vds 0.5 ,M0:cgs vds 0.6 ,M0:cgs vds 0.7 ,M0:cgs vds 0.8 ,M0:cgs vds 0.9 ,M0:cgs vds 1 ,M0:cgs vds 1.1 ,M0:cgs vds 1.2 ,M0:cgd vds 0 ,M0:cgd vds 0.1 ,M0:cgd vds 0.2 ,M0:cgd vds 0.3 ,M0:cgd vds 0.4 ,M0:cgd vds 0.5 ,M0:cgd vds 0.6 ,M0:cgd vds 0.7 ,M0:cgd vds 0.8 ,M0:cgd vds 0.9 ,M0:cgd vds 1 ,M0:cgd vds 1.1 ,M0:cgd vds 1.2 
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.002E-12,53.36E-12,67.35E-12,82.76E-12,102.3E-12,127.2E-12,159.0E-12,199.3E-12,249.8E-12,312.6E-12,389.7E-12,484.4E-12,604.8E-12,0.000,30.89,30.90,30.91,30.91,30.92,30.92,30.93,30.94,30.94,30.95,30.95,30.96,0.000,174.2E-12,212.2E-12,248.5E-12,289.7E-12,337.2E-12,392.1E-12,455.9E-12,529.8E-12,615.7E-12,715.3E-12,831.1E-12,965.6E-12,0.000,1.578E-9,1.936E-9,2.286E-9,2.686E-9,3.152E-9,3.696E-9,4.333E-9,5.077E-9,5.949E-9,6.971E-9,8.168E-9,9.570E-9,1.435E-9,152.9E-12,107.2E-12,120.3E-12,139.3E-12,162.4E-12,189.8E-12,222.1E-12,259.9E-12,304.3E-12,356.4E-12,417.6E-12,489.3E-12,0.000,258.3E3,319.5E3,379.8E3,448.8E3,529.0E3,622.4E3,731.7E3,859.5E3,1.009E6,1.185E6,1.390E6,1.631E6,802.9E-18,770.3E-18,742.0E-18,717.1E-18,695.1E-18,675.4E-18,657.7E-18,641.6E-18,627.0E-18,613.6E-18,601.3E-18,590.0E-18,579.4E-18,802.9E-18,802.9E-18,802.9E-18,802.9E-18,802.9E-18,802.9E-18,802.9E-18,802.9E-18,802.9E-18,802.9E-18,802.9E-18,802.9E-18,802.9E-18,365.9E-18,365.9E-18,365.9E-18,365.9E-18,365.9E-18,365.9E-18,365.9E-18,365.9E-18,365.9E-18,365.9E-18,365.9E-18,365.9E-18,365.9E-18,365.9E-18,358.8E-18,351.0E-18,344.3E-18,339.0E-18,334.8E-18,331.4E-18,328.7E-18,326.5E-18,324.6E-18,323.0E-18,321.6E-18,320.3E-18
50.00E-3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,988.8E-15,242.1E-12,298.9E-12,356.1E-12,423.5E-12,504.1E-12,600.9E-12,717.2E-12,856.8E-12,1.024E-9,1.223E-9,1.460E-9,1.743E-9,0.000,30.97,30.97,30.98,30.98,30.99,30.99,31.00,31.00,31.01,31.01,31.02,31.02,0.000,800.9E-12,976.0E-12,1.143E-9,1.333E-9,1.552E-9,1.806E-9,2.100E-9,2.441E-9,2.837E-9,3.298E-9,3.832E-9,4.454E-9,0.000,7.427E-9,9.115E-9,10.76E-9,12.65E-9,14.85E-9,17.42E-9,20.42E-9,23.94E-9,28.06E-9,32.88E-9,38.54E-9,45.17E-9,6.738E-9,718.4E-12,504.5E-12,566.1E-12,655.7E-12,764.7E-12,894.0E-12,1.046E-9,1.225E-9,1.435E-9,1.681E-9,1.969E-9,2.308E-9,0.000,1.215E6,1.503E6,1.788E6,2.115E6,2.495E6,2.938E6,3.455E6,4.061E6,4.770E6,5.601E6,6.574E6,7.716E6,802.9E-18,770.3E-18,742.0E-18,717.1E-18,695.1E-18,675.4E-18,657.7E-18,641.6E-18,627.0E-18,613.6E-18,601.3E-18,590.0E-18,579.4E-18,802.9E-18,802.9E-18,802.9E-18,802.9E-18,802.9E-18,802.9E-18,802.9E-18,802.9E-18,802.9E-18,802.9E-18,802.9E-18,802.9E-18,802.9E-18,368.7E-18,368.7E-18,368.7E-18,368.7E-18,368.7E-18,368.7E-18,368.7E-18,368.7E-18,368.7E-18,368.7E-18,368.7E-18,368.7E-18,368.7E-18,368.7E-18,362.6E-18,354.9E-18,347.5E-18,341.5E-18,336.7E-18,333.0E-18,330.0E-18,327.6E-18,325.5E-18,323.8E-18,322.2E-18,320.9E-18
100.0E-3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,950.1E-15,1.132E-9,1.391E-9,1.646E-9,1.940E-9,2.285E-9,2.689E-9,3.166E-9,3.728E-9,4.389E-9,5.167E-9,6.082E-9,7.159E-9,0.000,31.03,31.04,31.04,31.05,31.05,31.05,31.06,31.06,31.07,31.07,31.07,31.08,0.000,3.700E-9,4.510E-9,5.285E-9,6.164E-9,7.178E-9,8.353E-9,9.715E-9,11.30E-9,13.13E-9,15.27E-9,17.74E-9,20.62E-9,0.000,35.07E-9,43.05E-9,50.84E-9,59.78E-9,70.18E-9,82.33E-9,96.54E-9,113.2E-9,132.7E-9,155.5E-9,182.3E-9,213.7E-9,31.74E-9,3.387E-9,2.381E-9,2.672E-9,3.096E-9,3.612E-9,4.224E-9,4.944E-9,5.790E-9,6.782E-9,7.947E-9,9.313E-9,10.92E-9,0.000,5.733E6,7.090E6,8.442E6,9.996E6,11.80E6,13.91E6,16.37E6,19.24E6,22.61E6,26.56E6,31.19E6,36.61E6,802.9E-18,770.3E-18,742.0E-18,717.1E-18,695.1E-18,675.4E-18,657.7E-18,641.6E-18,627.0E-18,613.6E-18,601.3E-18,590.0E-18,579.4E-18,802.9E-18,802.9E-18,802.9E-18,802.9E-18,802.9E-18,802.9E-18,802.9E-18,802.9E-18,802.9E-18,802.9E-18,802.9E-18,802.9E-18,802.9E-18,370.8E-18,370.8E-18,370.8E-18,370.8E-18,370.8E-18,370.8E-18,370.8E-18,370.8E-18,370.8E-18,370.8E-18,370.8E-18,370.8E-18,370.8E-18,370.8E-18,365.9E-18,358.8E-18,351.0E-18,344.3E-18,339.0E-18,334.8E-18,331.4E-18,328.7E-18,326.5E-18,324.6E-18,323.0E-18,321.6E-18
150.0E-3,0.000,0.000,0.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,882.1E-15,5.342E-9,6.560E-9,7.751E-9,9.119E-9,10.71E-9,12.58E-9,14.76E-9,17.32E-9,20.33E-9,23.85E-9,27.98E-9,32.82E-9,0.000,31.08,31.09,31.09,31.09,31.10,31.10,31.10,31.10,31.10,31.10,31.09,31.09,0.000,17.16E-9,20.92E-9,24.52E-9,28.61E-9,33.31E-9,38.77E-9,45.09E-9,52.43E-9,60.95E-9,70.85E-9,82.34E-9,95.68E-9,0.000,166.0E-9,203.8E-9,240.7E-9,283.1E-9,332.4E-9,389.9E-9,457.3E-9,536.2E-9,628.5E-9,736.7E-9,863.4E-9,1.012E-6,150.0E-9,16.02E-9,11.27E-9,12.65E-9,14.66E-9,17.10E-9,20.00E-9,23.41E-9,27.41E-9,32.11E-9,37.62E-9,44.09E-9,51.67E-9,0.000,27.15E6,33.55E6,39.95E6,47.34E6,55.93E6,65.95E6,77.65E6,91.34E6,107.4E6,126.1E6,148.1E6,173.8E6,802.9E-18,770.3E-18,742.0E-18,717.1E-18,695.1E-18,675.4E-18,657.7E-18,641.6E-18,627.0E-18,613.6E-18,601.3E-18,590.0E-18,579.5E-18,802.9E-18,802.9E-18,802.9E-18,802.9E-18,802.9E-18,802.9E-18,802.9E-18,802.9E-18,802.9E-18,802.9E-18,802.9E-18,802.9E-18,802.9E-18,372.6E-18,372.6E-18,372.6E-18,372.6E-18,372.6E-18,372.6E-18,372.6E-18,372.6E-18,372.6E-18,372.6E-18,372.6E-18,372.6E-18,372.6E-18,372.6E-18,368.7E-18,362.6E-18,354.9E-18,347.5E-18,341.5E-18,336.7E-18,333.0E-18,330.0E-18,327.6E-18,325.5E-18,323.8E-18,322.2E-18
200.0E-3,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,779.6E-15,25.29E-9,31.05E-9,36.67E-9,43.12E-9,50.63E-9,59.40E-9,69.66E-9,81.66E-9,95.71E-9,112.2E-9,131.4E-9,154.0E-9,0.000,31.10,31.10,31.10,31.09,31.08,31.07,31.06,31.05,31.03,31.01,30.98,30.95,0.000,79.77E-9,97.25E-9,114.0E-9,132.9E-9,154.7E-9,179.9E-9,209.1E-9,243.0E-9,282.2E-9,327.7E-9,380.3E-9,441.2E-9,0.000,786.3E-9,965.5E-9,1.140E-6,1.340E-6,1.573E-6,1.845E-6,2.162E-6,2.533E-6,2.966E-6,3.473E-6,4.065E-6,4.756E-6,709.3E-9,75.90E-9,53.36E-9,59.89E-9,69.37E-9,80.90E-9,94.56E-9,110.6E-9,129.5E-9,151.5E-9,177.3E-9,207.5E-9,242.8E-9,0.000,128.6E6,158.7E6,188.9E6,223.8E6,264.6E6,312.0E6,367.3E6,431.8E6,507.2E6,595.3E6,698.2E6,818.3E6,803.1E-18,770.3E-18,742.0E-18,717.2E-18,695.2E-18,675.5E-18,657.8E-18,641.7E-18,627.1E-18,613.7E-18,601.4E-18,590.0E-18,579.5E-18,803.1E-18,803.0E-18,803.0E-18,803.0E-18,803.0E-18,803.0E-18,803.0E-18,803.0E-18,803.0E-18,803.0E-18,803.0E-18,803.0E-18,803.0E-18,375.1E-18,375.2E-18,375.2E-18,375.2E-18,375.2E-18,375.2E-18,375.2E-18,375.2E-18,375.2E-18,375.2E-18,375.2E-18,375.2E-18,375.2E-18,375.1E-18,370.8E-18,365.9E-18,358.8E-18,351.0E-18,344.3E-18,339.0E-18,334.8E-18,331.4E-18,328.7E-18,326.5E-18,324.6E-18,323.0E-18
250.0E-3,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,635.6E-15,119.5E-9,146.7E-9,173.1E-9,203.3E-9,238.4E-9,279.3E-9,326.9E-9,382.4E-9,447.1E-9,522.5E-9,610.1E-9,712.1E-9,0.000,30.97,30.96,30.93,30.88,30.84,30.78,30.71,30.63,30.54,30.44,30.33,30.19,0.000,368.7E-9,449.2E-9,525.4E-9,611.4E-9,710.0E-9,823.3E-9,953.6E-9,1.104E-6,1.276E-6,1.473E-6,1.699E-6,1.958E-6,0.000,3.700E-6,4.540E-6,5.353E-6,6.279E-6,7.351E-6,8.594E-6,10.04E-6,11.71E-6,13.65E-6,15.90E-6,18.50E-6,21.49E-6,3.338E-6,359.3E-9,251.2E-9,281.2E-9,325.0E-9,378.0E-9,440.5E-9,513.5E-9,598.5E-9,697.2E-9,811.7E-9,944.1E-9,1.097E-6,0.000,601.3E6,740.6E6,878.7E6,1.039E9,1.226E9,1.442E9,1.693E9,1.983E9,2.319E9,2.708E9,3.157E9,3.675E9,803.8E-18,770.6E-18,742.3E-18,717.5E-18,695.5E-18,675.8E-18,658.0E-18,642.0E-18,627.4E-18,614.0E-18,601.7E-18,590.3E-18,579.8E-18,803.8E-18,803.5E-18,803.5E-18,803.5E-18,803.5E-18,803.5E-18,803.5E-18,803.5E-18,803.5E-18,803.5E-18,803.5E-18,803.5E-18,803.5E-18,384.3E-18,385.3E-18,385.3E-18,385.2E-18,385.2E-18,385.2E-18,385.2E-18,385.2E-18,385.2E-18,385.2E-18,385.2E-18,385.2E-18,385.2E-18,384.3E-18,372.4E-18,368.7E-18,362.6E-18,354.9E-18,347.5E-18,341.5E-18,336.7E-18,333.0E-18,330.0E-18,327.6E-18,325.5E-18,323.8E-18
300.0E-3,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,433.3E-15,554.3E-9,679.5E-9,798.9E-9,934.2E-9,1.089E-6,1.268E-6,1.474E-6,1.712E-6,1.984E-6,2.296E-6,2.652E-6,3.059E-6,0.000,30.24,30.19,30.06,29.89,29.71,29.50,29.27,29.02,28.74,28.44,28.11,27.76,0.000,1.642E-6,1.996E-6,2.317E-6,2.673E-6,3.073E-6,3.524E-6,4.031E-6,4.600E-6,5.236E-6,5.946E-6,6.733E-6,7.604E-6,0.000,16.76E-6,20.52E-6,24.01E-6,27.93E-6,32.37E-6,37.42E-6,43.16E-6,49.66E-6,57.01E-6,65.28E-6,74.56E-6,84.92E-6,15.22E-6,1.679E-6,1.143E-6,1.264E-6,1.447E-6,1.665E-6,1.919E-6,2.209E-6,2.539E-6,2.913E-6,3.334E-6,3.808E-6,4.338E-6,0.000,2.606E9,3.200E9,3.764E9,4.409E9,5.149E9,5.993E9,6.950E9,8.031E9,9.251E9,10.62E9,12.16E9,13.88E9,807.7E-18,772.3E-18,743.9E-18,719.0E-18,697.0E-18,677.3E-18,659.6E-18,643.6E-18,629.0E-18,615.6E-18,603.3E-18,591.9E-18,581.4E-18,807.7E-18,806.3E-18,806.3E-18,806.3E-18,806.3E-18,806.3E-18,806.3E-18,806.3E-18,806.3E-18,806.3E-18,806.3E-18,806.3E-18,806.3E-18,429.8E-18,436.0E-18,435.7E-18,435.6E-18,435.5E-18,435.5E-18,435.5E-18,435.5E-18,435.5E-18,435.5E-18,435.5E-18,435.5E-18,435.5E-18,429.8E-18,374.2E-18,370.8E-18,365.9E-18,358.8E-18,351.0E-18,344.3E-18,339.0E-18,334.8E-18,331.4E-18,328.7E-18,326.5E-18,324.6E-18
350.0E-3,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,116.5E-15,2.389E-6,2.919E-6,3.393E-6,3.914E-6,4.497E-6,5.152E-6,5.887E-6,6.709E-6,7.626E-6,8.646E-6,9.778E-6,11.03E-6,0.000,27.80,27.74,27.41,27.04,26.63,26.20,25.75,25.28,24.80,24.31,23.80,23.30,0.000,6.403E-6,7.751E-6,8.835E-6,9.970E-6,11.19E-6,12.51E-6,13.94E-6,15.47E-6,17.10E-6,18.85E-6,20.71E-6,22.67E-6,0.000,66.41E-6,80.96E-6,93.02E-6,105.8E-6,119.7E-6,135.0E-6,151.6E-6,169.6E-6,189.1E-6,210.2E-6,232.8E-6,256.9E-6,62.06E-6,7.466E-6,4.630E-6,4.938E-6,5.504E-6,6.177E-6,6.935E-6,7.770E-6,8.683E-6,9.675E-6,10.75E-6,11.90E-6,13.14E-6,0.000,8.805E9,10.80E9,12.46E9,14.25E9,16.23E9,18.41E9,20.78E9,23.35E9,26.12E9,29.10E9,32.30E9,35.72E9,821.2E-18,778.6E-18,749.9E-18,725.0E-18,703.0E-18,683.3E-18,665.6E-18,649.5E-18,634.9E-18,621.5E-18,609.2E-18,597.8E-18,587.3E-18,821.2E-18,816.2E-18,816.0E-18,816.0E-18,816.0E-18,816.0E-18,816.0E-18,816.0E-18,816.0E-18,816.0E-18,816.0E-18,816.0E-18,816.0E-18,591.9E-18,625.6E-18,623.8E-18,623.3E-18,623.1E-18,623.1E-18,623.0E-18,623.0E-18,623.0E-18,623.0E-18,623.0E-18,623.0E-18,623.0E-18,591.9E-18,379.1E-18,372.7E-18,368.8E-18,362.6E-18,354.9E-18,347.5E-18,341.5E-18,336.7E-18,333.0E-18,330.0E-18,327.6E-18,325.5E-18
400.0E-3,3.000,3.000,3.000,3.000,3.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,-465.4E-15,8.574E-6,10.50E-6,11.97E-6,13.50E-6,15.15E-6,16.94E-6,18.88E-6,20.99E-6,23.26E-6,25.71E-6,28.35E-6,31.18E-6,0.000,23.00,23.19,22.80,22.33,21.82,21.32,20.81,20.31,19.81,19.32,18.83,18.35,0.000,18.76E-6,22.99E-6,25.58E-6,28.03E-6,30.51E-6,33.06E-6,35.69E-6,38.41E-6,41.19E-6,44.06E-6,46.98E-6,49.97E-6,0.000,197.2E-6,243.4E-6,273.0E-6,301.5E-6,330.7E-6,361.2E-6,393.0E-6,426.2E-6,460.7E-6,496.6E-6,533.8E-6,572.3E-6,198.5E-6,29.81E-6,15.11E-6,14.87E-6,15.86E-6,17.17E-6,18.64E-6,20.21E-6,21.87E-6,23.62E-6,25.44E-6,27.34E-6,29.31E-6,0.000,20.38E9,25.61E9,28.85E9,31.98E9,35.27E9,38.72E9,42.32E9,46.07E9,49.94E9,53.96E9,58.11E9,62.39E9,842.6E-18,791.2E-18,761.3E-18,736.2E-18,714.1E-18,694.4E-18,676.7E-18,660.6E-18,646.0E-18,632.6E-18,620.3E-18,609.0E-18,598.4E-18,842.6E-18,833.0E-18,832.2E-18,832.1E-18,832.1E-18,832.1E-18,832.1E-18,832.1E-18,832.1E-18,832.1E-18,832.1E-18,832.1E-18,832.1E-18,861.2E-18,974.2E-18,968.3E-18,966.1E-18,965.3E-18,964.9E-18,964.7E-18,964.6E-18,964.6E-18,964.5E-18,964.5E-18,964.5E-18,964.5E-18,861.2E-18,399.7E-18,375.7E-18,371.3E-18,366.1E-18,358.9E-18,351.1E-18,344.3E-18,339.0E-18,334.8E-18,331.4E-18,328.7E-18,326.5E-18
450.0E-3,1.000,1.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,-1.551E-12,23.53E-6,29.39E-6,32.99E-6,36.40E-6,39.90E-6,43.57E-6,47.43E-6,51.51E-6,55.81E-6,60.33E-6,65.09E-6,70.09E-6,0.000,17.47,18.07,17.84,17.45,17.03,16.61,16.19,15.78,15.38,14.99,14.61,14.24,0.000,38.84E-6,49.70E-6,54.64E-6,58.53E-6,62.15E-6,65.69E-6,69.19E-6,72.68E-6,76.16E-6,79.62E-6,83.08E-6,86.51E-6,0.000,411.0E-6,531.1E-6,588.4E-6,635.1E-6,679.5E-6,723.6E-6,767.9E-6,812.8E-6,858.3E-6,904.3E-6,950.9E-6,997.9E-6,472.0E-6,98.05E-6,39.91E-6,34.16E-6,34.35E-6,35.79E-6,37.66E-6,39.72E-6,41.89E-6,44.13E-6,46.43E-6,48.80E-6,51.22E-6,0.000,34.16E9,46.03E9,51.41E9,55.71E9,59.86E9,64.04E9,68.26E9,72.50E9,76.76E9,81.05E9,85.38E9,89.73E9,860.4E-18,806.1E-18,773.2E-18,747.6E-18,725.4E-18,705.6E-18,687.9E-18,671.8E-18,657.1E-18,643.8E-18,631.4E-18,620.1E-18,609.5E-18,860.4E-18,848.9E-18,846.8E-18,846.5E-18,846.4E-18,846.3E-18,846.3E-18,846.3E-18,846.3E-18,846.3E-18,846.3E-18,846.3E-18,846.3E-18,1.096E-15,1.314E-15,1.310E-15,1.304E-15,1.302E-15,1.301E-15,1.300E-15,1.300E-15,1.299E-15,1.299E-15,1.299E-15,1.299E-15,1.299E-15,1.096E-15,464.6E-18,384.0E-18,374.6E-18,369.5E-18,362.9E-18,355.1E-18,347.6E-18,341.5E-18,336.8E-18,333.0E-18,330.0E-18,327.6E-18
