vgs ,M0:cds,M0:csb,M0:gds,M0:cgs,M0:cgd,M0:cdb
0.000,-796.5E-24,942.7E-18,37.84E-9,365.9E-18,365.9E-18,942.7E-18
50.00E-3,-4.508E-21,942.7E-18,142.5E-9,368.7E-18,368.7E-18,942.7E-18
100.0E-3,-25.68E-21,942.7E-18,539.2E-9,370.8E-18,370.8E-18,942.7E-18
150.0E-3,-147.0E-21,942.7E-18,2.044E-6,372.6E-18,372.6E-18,942.7E-18
200.0E-3,-839.7E-21,942.9E-18,7.702E-6,375.5E-18,375.5E-18,942.9E-18
250.0E-3,-4.636E-18,943.9E-18,28.15E-6,385.9E-18,385.9E-18,943.9E-18
300.0E-3,-21.45E-18,948.3E-18,94.15E-6,429.7E-18,429.7E-18,948.3E-18
350.0E-3,-62.16E-18,958.2E-18,266.9E-6,534.5E-18,534.5E-18,958.2E-18
400.0E-3,-108.4E-18,968.8E-18,614.2E-6,653.3E-18,653.3E-18,968.8E-18
450.0E-3,-142.5E-18,976.3E-18,1.153E-3,742.6E-18,742.6E-18,976.3E-18
500.0E-3,-165.2E-18,981.2E-18,1.835E-3,803.2E-18,803.2E-18,981.2E-18
550.0E-3,-180.1E-18,984.5E-18,2.585E-3,844.3E-18,844.3E-18,984.5E-18
600.0E-3,-190.1E-18,986.8E-18,3.339E-3,872.9E-18,872.9E-18,986.8E-18
650.0E-3,-196.9E-18,988.5E-18,4.057E-3,893.2E-18,893.2E-18,988.5E-18
700.0E-3,-201.6E-18,989.7E-18,4.717E-3,907.8E-18,907.8E-18,989.7E-18
750.0E-3,-204.8E-18,990.6E-18,5.311E-3,918.3E-18,918.3E-18,990.6E-18
800.0E-3,-207.0E-18,991.4E-18,5.839E-3,926.0E-18,926.0E-18,991.4E-18
850.0E-3,-208.4E-18,992.0E-18,6.305E-3,931.5E-18,931.5E-18,992.0E-18
900.0E-3,-209.2E-18,992.4E-18,6.715E-3,935.4E-18,935.4E-18,992.4E-18
950.0E-3,-209.6E-18,992.8E-18,7.075E-3,937.9E-18,937.9E-18,992.8E-18
1.000,-209.7E-18,993.2E-18,7.391E-3,939.5E-18,939.5E-18,993.2E-18
1.050,-209.5E-18,993.5E-18,7.668E-3,940.3E-18,940.3E-18,993.5E-18
1.100,-209.1E-18,993.7E-18,7.912E-3,940.5E-18,940.5E-18,993.7E-18
1.150,-208.6E-18,993.9E-18,8.127E-3,940.2E-18,940.2E-18,993.9E-18
1.200,-207.9E-18,994.1E-18,8.317E-3,939.5E-18,939.5E-18,994.1E-18
