,cds,csb,gds,cgs,cgd,cdb,w,l,vds,vsb,vgs
0,-7.964999999999999e-22,9.427e-16,3.784e-08,3.659e-16,3.659e-16,9.427e-16,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.0,0.0
1,-4.508e-21,9.427e-16,1.425e-07,3.687e-16,3.687e-16,9.427e-16,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.0,0.05
2,-2.5680000000000003e-20,9.427e-16,5.392e-07,3.708e-16,3.708e-16,9.427e-16,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.0,0.1
3,-1.47e-19,9.427e-16,2.044e-06,3.726e-16,3.726e-16,9.427e-16,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.0,0.15
4,-8.397e-19,9.429e-16,7.702e-06,3.755e-16,3.755e-16,9.429e-16,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.0,0.2
5,-4.636e-18,9.439e-16,2.815e-05,3.859e-16,3.859e-16,9.439e-16,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.0,0.25
6,-2.145e-17,9.483e-16,9.415e-05,4.297e-16,4.297e-16,9.483e-16,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.0,0.3
7,-6.216e-17,9.582e-16,0.0002669,5.345e-16,5.345e-16,9.582e-16,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.0,0.35
8,-1.084e-16,9.688e-16,0.0006142,6.533e-16,6.533e-16,9.688e-16,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.0,0.4
9,-1.425e-16,9.763e-16,0.001153,7.426e-16,7.426e-16,9.763e-16,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.0,0.45
10,-1.652e-16,9.812e-16,0.001835,8.032e-16,8.032e-16,9.812e-16,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.0,0.5
11,-1.801e-16,9.845e-16,0.002585,8.443e-16,8.443e-16,9.845e-16,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.0,0.55
12,-1.901e-16,9.868e-16,0.003339,8.729e-16,8.729e-16,9.868e-16,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.0,0.6
13,-1.969e-16,9.885e-16,0.004057,8.932e-16,8.932e-16,9.885e-16,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.0,0.65
14,-2.016e-16,9.897e-16,0.004717,9.078e-16,9.078e-16,9.897e-16,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.0,0.7
15,-2.048e-16,9.906e-16,0.005311,9.183e-16,9.183e-16,9.906e-16,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.0,0.75
16,-2.07e-16,9.914e-16,0.005839,9.26e-16,9.26e-16,9.914e-16,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.0,0.8
17,-2.084e-16,9.92e-16,0.006305,9.315e-16,9.315e-16,9.92e-16,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.0,0.85
18,-2.092e-16,9.924e-16,0.006715,9.354e-16,9.354e-16,9.924e-16,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.0,0.9
19,-2.096e-16,9.928e-16,0.007075,9.379e-16,9.379e-16,9.928e-16,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.0,0.95
20,-2.097e-16,9.932e-16,0.007391,9.395e-16,9.395e-16,9.932e-16,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.0,1.0
21,-2.095e-16,9.935e-16,0.007668,9.403e-16,9.403e-16,9.935e-16,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.0,1.05
22,-2.091e-16,9.937e-16,0.007912,9.405e-16,9.405e-16,9.937e-16,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.0,1.1
23,-2.086e-16,9.939e-16,0.008127,9.402e-16,9.402e-16,9.939e-16,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.0,1.15
24,-2.079e-16,9.941e-16,0.008317,9.395e-16,9.395e-16,9.941e-16,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.0,1.2
