,gds,csb,cgs,cgd,cgg,cgb,capbs,cdb,w,vbs,vsd,l,vsg
0,1.084e-08,9.284e-16,4.133e-16,4.133e-16,9.541e-16,1.276e-16,9.284e-16,9.284e-16,2.2999999999999996e-06,0.0,0.0,30.0,0.0
1,3.958e-08,9.284e-16,4.18e-16,4.18e-16,9.597e-16,1.238e-16,9.284e-16,9.284e-16,2.2999999999999996e-06,0.0,0.0,30.0,0.05
2,1.455e-07,9.284e-16,4.219e-16,4.219e-16,9.641e-16,1.202e-16,9.284e-16,9.284e-16,2.2999999999999996e-06,0.0,0.0,30.0,0.1
3,5.382e-07,9.285e-16,4.256e-16,4.256e-16,9.681e-16,1.169e-16,9.284e-16,9.285e-16,2.2999999999999996e-06,0.0,0.0,30.0,0.15
4,1.998e-06,9.29e-16,4.318e-16,4.318e-16,9.767e-16,1.131e-16,9.284e-16,9.29e-16,2.2999999999999996e-06,0.0,0.0,30.0,0.2
5,7.401e-06,9.313e-16,4.541e-16,4.541e-16,1.015e-15,1.063e-16,9.284e-16,9.313e-16,2.2999999999999996e-06,0.0,0.0,30.0,0.25
6,2.683e-05,9.392e-16,5.284e-16,5.284e-16,1.147e-15,8.999e-17,9.284e-16,9.392e-16,2.2999999999999996e-06,0.0,0.0,30.0,0.3
7,9.031e-05,9.515e-16,6.488e-16,6.488e-16,1.364e-15,6.632e-17,9.284e-16,9.515e-16,2.2999999999999996e-06,0.0,0.0,30.0,0.35
8,0.0002593,9.61e-16,7.487e-16,7.487e-16,1.545e-15,4.786e-17,9.284e-16,9.61e-16,2.2999999999999996e-06,0.0,0.0,30.0,0.4
9,0.0006004,9.668e-16,8.146e-16,8.146e-16,1.665e-15,3.626e-17,9.284e-16,9.668e-16,2.2999999999999996e-06,0.0,0.0,30.0,0.45
10,0.001128,9.705e-16,8.582e-16,8.582e-16,1.745e-15,2.887e-17,9.284e-16,9.705e-16,2.2999999999999996e-06,0.0,0.0,30.0,0.5
11,0.001793,9.728e-16,8.884e-16,8.884e-16,1.801e-15,2.39e-17,9.284e-16,9.728e-16,2.2999999999999996e-06,0.0,0.0,30.0,0.55
12,0.002526,9.745e-16,9.101e-16,9.101e-16,1.841e-15,2.038e-17,9.284e-16,9.745e-16,2.2999999999999996e-06,0.0,0.0,30.0,0.6
13,0.003266,9.756e-16,9.264e-16,9.264e-16,1.871e-15,1.778e-17,9.284e-16,9.756e-16,2.2999999999999996e-06,0.0,0.0,30.0,0.65
14,0.003968,9.765e-16,9.388e-16,9.388e-16,1.893e-15,1.578e-17,9.284e-16,9.765e-16,2.2999999999999996e-06,0.0,0.0,30.0,0.7
15,0.004603,9.772e-16,9.485e-16,9.485e-16,1.911e-15,1.419e-17,9.284e-16,9.772e-16,2.2999999999999996e-06,0.0,0.0,30.0,0.75
16,0.00516,9.777e-16,9.563e-16,9.563e-16,1.925e-15,1.291e-17,9.284e-16,9.777e-16,2.2999999999999996e-06,0.0,0.0,30.0,0.8
17,0.005638,9.781e-16,9.625e-16,9.625e-16,1.937e-15,1.186e-17,9.284e-16,9.781e-16,2.2999999999999996e-06,0.0,0.0,30.0,0.85
18,0.006042,9.785e-16,9.675e-16,9.675e-16,1.946e-15,1.097e-17,9.284e-16,9.785e-16,2.2999999999999996e-06,0.0,0.0,30.0,0.9
19,0.006381,9.788e-16,9.717e-16,9.717e-16,1.954e-15,1.021e-17,9.284e-16,9.788e-16,2.2999999999999996e-06,0.0,0.0,30.0,0.95
20,0.006666,9.79e-16,9.751e-16,9.751e-16,1.96e-15,9.559e-18,9.284e-16,9.79e-16,2.2999999999999996e-06,0.0,0.0,30.0,1.0
21,0.006905,9.792e-16,9.779e-16,9.779e-16,1.965e-15,8.989e-18,9.284e-16,9.792e-16,2.2999999999999996e-06,0.0,0.0,30.0,1.05
22,0.007109,9.794e-16,9.802e-16,9.802e-16,1.969e-15,8.487e-18,9.284e-16,9.794e-16,2.2999999999999996e-06,0.0,0.0,30.0,1.1
23,0.007282,9.796e-16,9.821e-16,9.821e-16,1.972e-15,8.042e-18,9.284e-16,9.796e-16,2.2999999999999996e-06,0.0,0.0,30.0,1.15
24,0.007432,9.797e-16,9.837e-16,9.837e-16,1.975e-15,7.645e-18,9.284e-16,9.797e-16,2.2999999999999996e-06,0.0,0.0,30.0,1.2
25,1.599e-09,9.284e-16,4.133e-16,4.133e-16,1.114e-15,2.874e-16,9.284e-16,9.284e-16,2.2999999999999996e-06,0.0,0.0,60.0,0.0
26,6.993e-09,9.284e-16,4.18e-16,4.18e-16,1.115e-15,2.786e-16,9.284e-16,9.284e-16,2.2999999999999996e-06,0.0,0.0,60.0,0.05
27,3.082e-08,9.284e-16,4.22e-16,4.22e-16,1.115e-15,2.706e-16,9.284e-16,9.284e-16,2.2999999999999996e-06,0.0,0.0,60.0,0.1
28,1.368e-07,9.285e-16,4.259e-16,4.259e-16,1.115e-15,2.63e-16,9.284e-16,9.285e-16,2.2999999999999996e-06,0.0,0.0,60.0,0.15
29,6.101e-07,9.292e-16,4.335e-16,4.335e-16,1.122e-15,2.551e-16,9.284e-16,9.292e-16,2.2999999999999996e-06,0.0,0.0,60.0,0.2
30,2.722e-06,9.324e-16,4.639e-16,4.639e-16,1.171e-15,2.432e-16,9.284e-16,9.324e-16,2.2999999999999996e-06,0.0,0.0,60.0,0.25
31,1.191e-05,9.454e-16,5.845e-16,5.845e-16,1.384e-15,2.148e-16,9.284e-16,9.454e-16,2.2999999999999996e-06,0.0,0.0,60.0,0.3
32,4.813e-05,9.716e-16,8.375e-16,8.375e-16,1.839e-15,1.638e-16,9.284e-16,9.716e-16,2.2999999999999996e-06,0.0,0.0,60.0,0.35
33,0.0001619,9.955e-16,1.084e-15,1.084e-15,2.286e-15,1.176e-16,9.284e-16,9.955e-16,2.2999999999999996e-06,0.0,0.0,60.0,0.4
34,0.0004201,1.011e-15,1.252e-15,1.252e-15,2.592e-15,8.766e-17,9.284e-16,1.011e-15,2.2999999999999996e-06,0.0,0.0,60.0,0.45
35,0.0008345,1.02e-15,1.362e-15,1.362e-15,2.793e-15,6.885e-17,9.284e-16,1.02e-15,2.2999999999999996e-06,0.0,0.0,60.0,0.5
36,0.001351,1.026e-15,1.437e-15,1.437e-15,2.931e-15,5.641e-17,9.284e-16,1.026e-15,2.2999999999999996e-06,0.0,0.0,60.0,0.55
37,0.001909,1.03e-15,1.491e-15,1.491e-15,3.029e-15,4.772e-17,9.284e-16,1.03e-15,2.2999999999999996e-06,0.0,0.0,60.0,0.6
38,0.002462,1.033e-15,1.53e-15,1.53e-15,3.102e-15,4.137e-17,9.284e-16,1.033e-15,2.2999999999999996e-06,0.0,0.0,60.0,0.65
39,0.002984,1.035e-15,1.56e-15,1.56e-15,3.157e-15,3.654e-17,9.284e-16,1.035e-15,2.2999999999999996e-06,0.0,0.0,60.0,0.7
